SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,IS_NEW
BAIS:6140:0700,Information Visualization,Hassan Rafique - Primary Instructor,,-,17.0,-,-,8.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
BAIS:6210:0700,Data Leadership and Management,Kristy Walker - Primary Instructor,,-,27.0,-,-,1.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
BAIS:6230:0EXP,People Analytics,David Nembhard - Primary Instructor,,-,21.0,-,-,5.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
BAIS:6400:0001,Cloud Computing,Michael Colbert - Primary Instructor,,-,14.0,-,-,0.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
BAIS:6600:0001,Linear Programming,Samuel Burer - Primary Instructor,,-,6.0,-,-,5.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
BAIS:8130:0702,Business Communication,Julie Alexander - Primary Instructor,,-,20.0,-,-,8.0,-,-,1.0,-,-,0.0,-,-,0.0,Fall,2023,1
BAIS:9100:0700,Data and Decisions,Renbo Zhao - Primary Instructor,,-,16.0,-,-,11.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
BAIS:9100:0800,Data and Decisions,Renbo Zhao - Primary Instructor,,-,29.0,-,-,18.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
BAIS:9100:0EXP,Data and Decisions,Buddhika Nettasinghe - Primary Instructor,,-,23.0,-,-,11.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
BAIS:9110:0EX8,Advanced Analytics,Al H Ringleb - Primary Instructor,Stephanie Schnicker - Course Supervisor,-,11.0,-,-,8.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
BAIS:9110:0EXP,Advanced Analytics,Beste Basciftci - Primary Instructor,,-,20.0,-,-,10.0,-,-,0.0,-,-,0.0,-,-,0.0,Fall,2023,1
BAIS:9110:0EXT,Advanced Analytics,Beste Basciftci - Primary Instructor,,-,13.0,-,-,7.0,-,-,2.0,-,-,2.0,-,-,0.0,Fall,2023,1
