SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,IS_NEW
PROS:8370:0806,Introduction to Clinical Prosthodontics,Pantip Henprasert - Primary Instructor,,-,0.0,-,-,21.0,-,-,1.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSQF:1050:0EXW,Learning Online Successfully,Gary Steffensmeier - Primary Instructor,,-,15.0,-,-,3.0,-,-,0.0,-,-,0.0,-,-,2.0,Spring,2024,1
PSQF:1075:0001,Educational Psychology and Measurement,Cassie Olmstead - Primary Instructor,Mitchell Kelly - Course Supervisor,-,8.0,-,-,5.0,-,-,2.0,-,-,1.0,-,-,1.0,Spring,2024,1
PSQF:1075:0002,Educational Psychology and Measurement,Cassie Olmstead - Primary Instructor,Mitchell Kelly - Course Supervisor,-,8.0,-,-,8.0,-,-,1.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSQF:1075:0004,Educational Psychology and Measurement,Mitchell Kelly - Primary Instructor,,-,15.0,-,-,16.0,-,-,5.0,-,-,1.0,-,-,0.0,Spring,2024,1
PSQF:1075:0005,Educational Psychology and Measurement,Mitchell Kelly - Primary Instructor,,-,11.0,-,-,11.0,-,-,1.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSQF:1075:0EXW,Educational Psychology and Measurement,Faiaz Rahman - Primary Instructor,Mitchell Kelly - Course Supervisor,-,16.0,-,-,2.0,-,-,6.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSQF:2115:0001,Introduction to Counseling Psychology,Julie Koch - Primary Instructor,,-,62.0,-,-,39.0,-,-,12.0,-,-,11.0,-,-,1.0,Spring,2024,1
PSQF:2116:0001,Applied Child and Adolescent Psychology,Megan Foley Nicpon - Primary Instructor,,-,19.0,-,-,22.0,-,-,7.0,-,-,0.0,-,-,1.0,Spring,2024,1
PSQF:3104:0EXW,Multicultural Counseling & Psychology,Mallory Bolenbaugh - Primary Instructor,,-,17.0,-,-,10.0,-,-,1.0,-,-,2.0,-,-,0.0,Spring,2024,1
PSQF:3700:0EXT,Intro to Trauma and Resilience,Harmony Linden - Primary Instructor,,-,8.0,-,-,6.0,-,-,1.0,-,-,1.0,-,-,0.0,Spring,2024,1
PSQF:3700:0EXW,Intro to Trauma and Resilience,Yvonne Farley - Primary Instructor,,-,13.0,-,-,2.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSQF:4106:0001,Child Development,Kalen Zeiger - Primary Instructor,Kathy Schuh - Course Supervisor,-,14.0,-,-,6.0,-,-,4.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSQF:4134:0EXW,Parent-Teacher Communication,Michelle Hinzman - Primary Instructor,,-,9.0,-,-,20.0,-,-,1.0,-,-,0.0,-,-,0.0,Spring,2024,1
